"IZ2011_Code","SIMD2020v2_Rank","IMD IZ Deciles"
"S02001582",1351.874690168,"2"
"S02001583",1322.60920043812,"2"
"S02001584",319.52523659306,"1st most deprived"
"S02001585",3913.81008997429,"6"
"S02001586",1930.6138320775,"2"
"S02001587",1634.58577194753,"2"
"S02001588",3189.58695652174,"5"
"S02001589",3998.72321253673,"7"
"S02001590",2925.66980609418,"4"
"S02001591",3941.00716403162,"6"
"S02001592",6563.89465875371,"10 least deprived"
"S02001593",6711.02486077963,"10 least deprived"
"S02001594",6125.92586280358,"10 least deprived"
"S02001595",6656.36705666437,"10 least deprived"
"S02001596",2987.61717791411,"4"
"S02001597",2087.33645911478,"3"
"S02001598",6480.87327770231,"10 least deprived"
"S02001599",6495.99858306766,"10 least deprived"
"S02001600",4792.93903638151,"8"
"S02001601",5249.64010989011,"9"
"S02001602",1337.17343298794,"2"
"S02001603",1730.86731222193,"2"
"S02001604",2126.97993467102,"3"
"S02001605",1569.99758015729,"2"
"S02001606",6092.95420792079,"10 least deprived"
"S02001607",5409.69622583615,"9"
"S02001608",2074.78789694428,"3"
"S02001609",5946.7788966725,"10 least deprived"
"S02001610",3948.53408084981,"6"
"S02001611",6065.99696458685,"10 least deprived"
"S02001612",6568.92500429037,"10 least deprived"
"S02001613",6564.70146056475,"10 least deprived"
"S02001614",6893.63657024793,"10 least deprived"
"S02001615",6549.77967493023,"10 least deprived"
"S02001616",6164.65821042281,"10 least deprived"
"S02001617",6357.25295546559,"10 least deprived"
"S02001618",5614.55700393131,"9"
"S02001619",3432.74236031198,"5"
"S02001620",3927.42563216586,"6"
"S02001621",5563.69842750533,"9"
"S02001622",2967.62561349693,"4"
"S02001623",2758.92052505967,"4"
"S02001624",3013.86859305126,"4"
"S02001625",4466.53549039434,"8"
"S02001626",5302.64744455159,"9"
"S02001627",1189.40146634081,"1st most deprived"
"S02001628",411.962202315927,"1st most deprived"
"S02001629",726.387096774194,"1st most deprived"
"S02001630",4225.47225103734,"7"
"S02001631",5645.64158636027,"9"
"S02001632",3574.38785834739,"6"
"S02001633",6001.54916420846,"10 least deprived"
"S02001634",5551.67275553828,"9"
"S02001635",2834.61273428886,"4"
"S02001636",6117.55949008499,"10 least deprived"
"S02001637",1890.92277115275,"2"
"S02001638",1107.85827484718,"1st most deprived"
"S02001639",5126.80371009491,"9"
"S02001640",4035.50526831659,"7"
"S02001641",2324.46806039489,"3"
"S02001642",3607.18867209699,"6"
"S02001643",2527.38465814341,"3"
"S02001644",3303.74972150019,"5"
"S02001645",3915.0580148474,"6"
"S02001646",3357.63742857143,"5"
"S02001647",5482.91081422639,"9"
"S02001648",3260.62212765957,"5"
"S02001649",3926.15140285866,"6"
"S02001650",6572.53777777778,"10 least deprived"
"S02001651",6090.68772373131,"10 least deprived"
"S02001652",6549.23500643501,"10 least deprived"
"S02001653",4982.25912670007,"8"
"S02001654",6199.32666806988,"10 least deprived"
"S02001655",5977.81443298969,"10 least deprived"
"S02001656",6103.75679542203,"10 least deprived"
"S02001657",6867.03972687772,"10 least deprived"
"S02001658",6316.83743074792,"10 least deprived"
"S02001659",6844.62838836865,"10 least deprived"
"S02001660",6248.0602234799,"10 least deprived"
"S02001661",5482.79068695251,"9"
"S02001662",6902.0373621427,"10 least deprived"
"S02001663",6465.28330486763,"10 least deprived"
"S02001664",6736.88052291908,"10 least deprived"
"S02001665",2063.06119925819,"3"
"S02001666",1380.07827599536,"2"
"S02001667",4678.67820443483,"8"
"S02001668",744.471226570207,"1st most deprived"
